Name,ESI
TOI-2567 b,0.021657706
TOI-257 b,0.057833628
TOI-2570 b,0.013148691
TOI-2583 b,0.012541436
TOI-2587 b,0.017097227
TOI-263 b,0.016712574
TOI-269 b,0.305857882
TOI-270 b,0.556893126
TOI-270 c,0.414872998
TOI-270 d,0.556478261
TOI-2796 b,0.013085729
TOI-2803 b,0.010467911
TOI-2818 b,0.018699907
TOI-2842 b,0.018545657
TOI-2977 b,0.029715955
TOI-3023 b,0.012885921
TOI-3331 b,0.034858846
TOI-3364 b,0.042288604
TOI-3540 b,0.008897976
TOI-3629 b,0.083561658
TOI-3688 b,0.025071795
TOI-3693 b,0.055834228
TOI-3714 b,0.06317892
TOI-3757 b,0.038229215
TOI-3807 b,0.008323042
TOI-3819 b,0.024182447
TOI-3884 b,0.105256587
TOI-3912 b,0.015163479
TOI-3976 b,0.017057988
TOI-402 b,0.056538579
TOI-4087 b,0.023916283
TOI-4137 b,0.023049426
TOI-4138 b,0.011458841
TOI-4145 b,0.026335156
TOI-421 b,0.104082903
TOI-421 c,0.153531767
TOI-431 b,0.123067206
TOI-431 d,0.207061323
TOI-4463 b,0.02522598
TOI-4479 b,0.182391647
TOI-4481 b,0.300823656
TOI-4562 b,0.180158025
TOI-4791 b,0.037947416
TOI-481 b,0.043971542
TOI-500 b,0.166000012
TOI-5153 b,0.076022985
TOI-5205 b,0.071677496
TOI-530 b,0.096448201
TOI-532 b,0.109756166
TOI-544 b,0.19641586
TOI-5542 b,0.128395836
TOI-558 b,0.063384463
TOI-559 b,0.057981347
TOI-564 b,0.031798657
TOI-620 b,0.202970836
TOI-628 b,0.039871709
TOI-640 b,0.009200231
TOI-674 b,0.122688052
TOI-677 b,0.03384371
TOI-700 d,0.750265572
TOI-712 b,0.337132321
TOI-712 c,0.42894684
TOI-712 d,0.527266547
TOI-763 b,0.207208326
TOI-763 c,0.22507514
TOI-776 b,0.461979771
TOI-776 c,0.511180221
TOI-833 b,0.262114049
TOI-836 b,0.297577657
TOI-836 c,0.279004176
TOI-849 b,0.087912984
TOI-892 b,0.032338492
TOI-905 b,0.028749677
TOI-954 b,0.023078713
TOI-969 b,0.175702162
TRAPPIST-1 b,0.68609882
TRAPPIST-1 c,0.807347916
TRAPPIST-1 d,0.873098354
TRAPPIST-1 e,0.828844764
TRAPPIST-1 f,0.684858124
TRAPPIST-1 g,0.723424627
TRAPPIST-1 h,0.534209238
TYC 8998-760-1 b,0.010084975
TrES-2 A b,0.028183528
USco1610-1913 b,0.006914311
V 1298 Tau b,0.13236097
WASP-100 b,0.011350728
WASP-101 b,0.013058549
WASP-103 b,0.009779319
WASP-104 b,0.029235385
WASP-106 b,0.050005414
WASP-108 b,0.023807763
WASP-109 b,0.014497252
WASP-110 b,0.024613394
WASP-111 b,0.014396549
WASP-112 b,0.025908998
WASP-113 b,0.013439894
WASP-114 b,0.017155171
WASP-117 b,0.030924949
WASP-118 b,0.011215079
WASP-119 b,0.018531043
WASP-12 b,0.006113262
WASP-120 b,0.021591594
WASP-122 b,0.009447974
WASP-123 b,0.019608761
WASP-124 b,0.02056021
WASP-126 b,0.023276661
WASP-129 b,0.054886776
WASP-130 b,0.084341116
WASP-131 b,0.01517914
WASP-132 b,0.063228439
WASP-133 b,0.020783317
WASP-134 b,0.064557969
WASP-137 b,0.01766288
WASP-139 b,0.03933256
WASP-140 b,0.028298464
WASP-141 b,0.032778033
WASP-142 b,0.010251436
WASP-143 b,0.023852312
WASP-144 b,0.04166712
WASP-145 A b,0.050702766
